id,category_bn,comment_bn,stage_bn,response_bn,class,topic_key
6902,প্যারানইয়া,রাতে বারান্দার ধারে দাঁড়ালে অকারণে মাথায় আসে পাশের লোকজন আমার দিকে খেয়াল করছে মনে হয়—এই সময় ঘাম হয়ে যায়—সারাদিনে বারবার ফিরে আসে—ফলে মিটিং/ক্লাসে অংশ নিতে কষ্ট হয়—সতর্ক থাকতে রুট বদলাই।,মাঝারি,"রুটিন বজায় রাখুন, প্রয়োজন হলে সঙ্গী নিয়ে বের হন।",Paranoia,
90399,সোমাটিক সিম্পটম ডিসঅর্ডার,সকালে ঘুম থেকে উঠেই শ্বাস আটকে যাওয়ার মতো লাগে এমনভাবে আসে যে কাজে মনোযোগ নষ্ট হয়ে যায়; তারপর নিজে থেকেই কমে।,মাঝারি,ক্যাফেইন ও ভারী কাজ এড়িয়ে চলুন।,Somatic_symptom,
54242,বাইপোলার,দীর্ঘ সময় নীরবে বসে থাকলে থাকলে ঘুমের প্রয়োজন কমে যায় বেশি হয়; অল্প সময় পর কমে আসে এবং নিজেকে নিয়ন্ত্রণে রাখতে কষ্ট হয়।,মাঝারি,"উদ্দীপক পানীয় কমান, রাতের বেলা স্ক্রিন ব্যবহার সীমিত করুন এবং নীরব পরিবেশে বিশ্রাম নিন।",Bipolar,
74012,পোস্টপার্টাম ডিপ্রেশন (প্রসব-পরবর্তী বিষণ্নতা),ঘরে সবাই ঘুমালে চাপ বাড়লে গলা শুকিয়ে যায় হাসি কমে গেছে—এই সময় হৃদস্পন্দন বেড়ে যায়; দু-এক ঘণ্টা টিকে থাকে; ফলে পরিবারের সাথে কথা কমে যায়—তাই ফিডিং শিডিউল বারবার পাল্টাই।,হালকা,আজ একবার বাইরে খোলা হাওয়ায় বসে থাকুন।,Postpartum_depression,mood_low_anhedonia
74761,ইটিং ডিসঅর্ডার (Eating Disorders),আগের দিনের কথা মনে পড়ে অফিস ক্যান্টিনে ক্লান্ত থাকলেও রুটিন ভাঙি না স্পষ্ট হয়; শ্বাস ছোট হয়ে আসে লাগে; বেশি হলে দু-এক ঘণ্টা টিকে থাকে; শেষে সামাজিক অনুষ্ঠান এড়িয়ে চলি; অনিচ্ছায় লোকজনের সামনে খেতে সংকোচ বোধ করি।,মাঝারি,শরীরের সংকেত শুনে থামা অনুশীলন করুন।,Eating_disorder,
26947,প্যানিক অ্যাটাক,বিছানায় শুলেই অস্থির লাগে অফিসে কাজের সময় লক্ষ্য করি—পরে কিছুক্ষণ স্থায়ী হয়।,মাঝারি,রাতে ঘন ঘন ঘুম ভাঙলে ক্যাফেইন কমিয়ে নিয়মিত রুটিন অনুসরণ করুন।,Panic_attack,
53570,ডিপ্রেশন,"কথা বলতে গিয়ে জোরে বলে ফেলি রাতে একা ঘরে টের পাই, এরপর কিছুক্ষণ থাকে; এতে দৈনন্দিন পরিকল্পনা ভেঙে পড়ে।",মাঝারি,ট্রিগার নোট করুন এবং আগেভাগে বিকল্প আচরণ ঠিক করুন।,Depression,
53612,সিজোফ্রেনিয়া,রাতে ঘর নিস্তব্ধ হলে কয়েক মিনিটে বেড়ে যায় ভাবনা একদিকে থাকে না—এই সময় মাথা হালকা লাগে—ধীরে ধীরে কমে—ফলে পরিবারের সাথে দূরত্ব তৈরি হয়—লাইট জ্বালিয়ে রাখি।,তীব্র,চিন্তা ভীষণ এলোমেলো হলে সিদ্ধান্ত স্থগিত রাখুন; সাপোর্ট নিয়ে প্রয়োজনীয় কাজ করুন।,Schizophrenia,
85177,জেনারালাইজড অ্যাংজাইটি ডিসঅর্ডার (GAD),"কিছু সময়েই বেড়ে যায় রাস্তায় হাঁটতে হাঁটতে একটা ভাবনা ছাড়তে পারি না অনুভব করি—সাধারণত ধীরে ধীরে কমে, তাই পরিকল্পনা পাল্টে ফেলি।",হালকা,হালকা দুশ্চিন্তায় ৫ মিনিট হাঁটা ও গভীর শ্বাস উপকারী।,Generalized_anxiety,
46162,সোমাটিক সিম্পটম ডিসঅর্ডার,"হাতে-পায়ে টান আর ব্যথা অনুভব হয় রাতে একা ঘরে টের পাই, এরপর সারাদিনে বারবার আসে; এতে পরিবারের সাথে সময় উপভোগ করতে পারি না।",তীব্র,"ব্যথা অসহনীয় হলে এখনই বিশ্রাম নিন, নিরাপদে থাকুন এবং প্রয়োজনে চিকিৎসা সহায়তা নিন। পুনরাবৃত্ত ব্যথার জন্য ডাক্তারের ফলো-আপ পরিকল্পনা করুন।",Somatic_symptom,
93247,ফোবিয়া,টানেলের মুখে দেখামাত্র শরীর টাইট হয়ে যায় দূরে গেলে ফিরতে পারব কিনা ভয়—সাথে হাত কাঁপতে থাকে—কিছুক্ষণ স্থায়ী হয়—ফলে শ্বাস ছোট হয়ে আসে।,হালকা,হালকা অস্বস্তিতে আগে থেকে পরিকল্পনা করে বের হলে নিয়ন্ত্রণ অনুভূত হয়।,Fobia,
58374,ইটিং ডিসঅর্ডার (Eating Disorders),আয়নায় নিজেকে দেখলে আগের দিনের কথা মনে পড়ে দিনের নিয়ম ভাঙলে মন ভেঙে যায়; মাথায় আসে সবাই আমাকে বিচার করবে মনে হয়—এই সময় পেট অস্বস্তি লাগে; সাধারণত ধীরে ধীরে কমে; ফলে সামাজিক অনুষ্ঠান এড়িয়ে চলি; তাই লোকজনের সামনে খেতে সংকোচ বোধ করি।,হালকা,হালকা অপরাধবোধে স্ব-করুণা অনুশীলন করুন—একদিনের পরিবর্তন পুরো চিত্র নয়।,Eating_disorder,
51839,বাইপোলার,ল্যাপটপ খুলে কাজ শুরু করতেই থাকলে হঠাৎ বড় সিদ্ধান্ত নিয়ে ফেলি বেশি হয়; কিছুক্ষণ স্থায়ী হয় এবং কাজে মন রাখতে পারি না।,মাঝারি,"প্রতিটি বড় সিদ্ধান্তের জন্য 'বিরতি নিয়ম' রাখুন—লিখে রাখুন, পরে সিদ্ধান্ত নিন।",Bipolar,
21365,অতিরিক্ত চিন্তা,"বাসায় ফিরেই কয়েক মিনিটে বেড়ে যায় কীভাবে কী হলো তা নিয়ে ভাবনায় ডুবে যাই, যা প্রায় সারাদিন টেনে নেয়; ফলে সিদ্ধান্ত নিতে দেরি হয়।",হালকা,হালকা রুমিনেশনে ৫ মিনিট হাঁটা ও গভীর শ্বাস অনুশীলন উপকারী।,Overthinking,
64799,প্যারানইয়া,ক্যাম্পাসের করিডরে হাঁটতে হাঁটতে হঠাৎ মনে হয় মনে হয় আমার ভাবনা বুঝে ফেলছে মানুষ—এই সময় গলা শুকিয়ে যায়—কিছুক্ষণ স্থায়ী হয়—ফলে বাড়তি সময় চেক করতে খরচ হয়—সতর্ক থাকতে অপরিচিত জায়গা এড়িয়ে চলি।,হালকা,ছোট শ্বাস অনুশীলন করুন।,Paranoia,
6269,ফোবিয়া,ভিড় বাসে দাঁড়িয়ে হঠাৎ মনে হয় খোলা মাঠে একা থাকলে অস্বস্তি—সাথে পা দুর্বল লাগে—নিজে থেকেই পরে কমে—ফলে যাতায়াত কষ্টকর হয়ে ওঠে।,তীব্র,উচ্চ ভিড় এড়াতে সময়/রুট বদলান এবং প্রয়োজন হলে সঙ্গী নিয়ে বের হন।,Fobia,
20790,ইটিং ডিসঅর্ডার (Eating Disorders),সামাজিক পরিস্থিতিতে বাড়ে ঘুম থেকে উঠেই দিনের নিয়ম ভাঙলে মন ভেঙে যায় স্পষ্ট হয়; পেট অস্বস্তি লাগে লাগে; বেশি হলে ধীরে ধীরে কমে; শেষে দিনের পরিকল্পনা ভেঙে পড়ে; অনিচ্ছায় খাবারের লেবেল/উপাদান ঘন্টার পর ঘন্টা দেখি।,তীব্র,তীব্র অপরাধবোধে ঝুঁকিপূর্ণ কাজ করবেন না; সাপোর্ট নিন ও নিরাপদে থাকুন। উপসর্গ/ট্রিগার লগ করুন এবং দ্রুত পেশাদারের সাথে কথা বলুন (CBT‑E/FBT)।,Eating_disorder,
16043,প্যানিক অ্যাটাক,চট করে অনুভব করি রাতে একা থাকলে মৃত্যুভয় চেপে বসে; সাধারণত ধীরে ধীরে কমে আসে।,হালকা,মন হালকা রাখতে হাঁটা এবং নিয়মিত ঘুমের অভ্যাস বজায় রাখুন।,Panic_attack,
34232,প্যারানইয়া,মোবাইল হাতে নিলে অকারণে মাথায় আসে কোণে দাঁড়িয়ে কেউ আমাকে দেখছে মনে হয়—এই সময় শ্বাস ছোট হয়ে আসে—সারাদিনে বারবার ফিরে আসে—ফলে বাড়তি সময় চেক করতে খরচ হয়—সতর্ক থাকতে অপরিচিত জায়গা এড়িয়ে চলি।,হালকা,"অভিজ্ঞতা লিখে রাখুন—কখন বাড়ে, কখন কমে।",Paranoia,
3338,সোমাটিক সিম্পটম ডিসঅর্ডার,রাস্তা দিয়ে হাঁটতে হাঁটতে শরীরের বিভিন্ন জায়গায় ব্যথা চেপে বসে এমনভাবে আসে যে পরিবারের সাথে সময় উপভোগ করতে পারি না; তারপর নিজে থেকেই কমে।,মাঝারি,"ব্যথা কমাতে গরম/ঠান্ডা সেঁক, সঠিক ভঙ্গি ও ছোট স্ট্রেচ উপকারী হতে পারে; দীর্ঘস্থায়ী হলে চিকিৎসকের পরামর্শ নিন।",Somatic_symptom,
73013,আত্মহত্যামুখী প্রবণতা,"আস্তে আস্তে মনে জমে অফিস থেকে ফিরেই আগের মত আনন্দ পাই না মাথায় ঘোরে—সাধারণত কিছুক্ষণ থাকে, তাই স্বাভাবিক কাজও কঠিন হয়ে ওঠে।",মাঝারি,মন খুব ভারী লাগলে ছোট ছোট কাজ দিয়ে দিন সাজান এবং একজন বিশ্বস্ত ব্যক্তির সাথে নিয়মিত কথা বলুন।,Suicidal_tendency,
72816,অতিরিক্ত চিন্তা,"আস্তে আস্তে জমে মিটিংয়ের মাঝে পরিকল্পনা বদলালেই অস্থির হয়ে যাই মাথায় ঘোরে—সাধারণত ধীরে ধীরে কমে, তাই পরিবারের সাথে সময় উপভোগ করা কঠিন হয়ে যায়।",হালকা,ছোট ছোট সিদ্ধান্তে অন্যদের মত নিন।,Overthinking,
92050,ডিপ্রেশন,ফোন হাতে নিলে খাবারের স্বাদ লাগে না এমনভাবে আসে যে কাজে মন বসে না; তারপর নিজে থেকেই পরে কমে যায়।,মাঝারি,ক্ষুধা বাড়লে খাবারের পরিকল্পনা লিখে নিন এবং নিয়মিত সময় মেনে চলুন।,Depression,
84205,সোমাটিক সিম্পটম ডিসঅর্ডার,"ছোট কাজের জন্যও অনেক সময় লাগে পড়াশোনার টেবিলে টের পাই, এরপর নিজে থেকেই কমে; এতে স্বাভাবিক কাজকর্ম ব্যাহত হয়।",হালকা,টু-ডু তালিকা ব্যবহার করলে ধারাবাহিকতা বাড়ে।,Somatic_symptom,
60419,সোশ্যাল অ্যাংজাইটি ডিসঅর্ডার,ক্যাম্পাসের মাঠ পেরোতে গেলে সামনে লোক দেখলেই শুরু হয় সবার সামনে ভয় লাগে—মাথায় আসে এই মুহূর্তে বেরিয়ে যেতে হবে। এই সময় ঘাম হয়ে যায়। ধীরে ধীরে কমে। ফলে নেটওয়ার্কিং সুযোগ হারাই। শরীর সোজা না রেখে ঝুঁকে থাকি।,মাঝারি,শুরুর ২–৩টি বাক্য মুখস্থ রেখে চোখে চোখ রেখে ধীরে বলুন; ধীরে শ্বাস ও বিরতি দিন।,Social_anxiety,
68996,ওসিডি (Obsessive–Compulsive Disorder),অফিসে টেবিল গোছাতে গিয়ে সমান না হলে অস্বস্তি ছড়িয়ে পড়ে দরজা লক হয়েছে কিনা মনে হয়—বারবার ফিরে গিয়ে চেক করি—এই সময় শ্বাস ছোট হয়ে আসে—দু-এক ঘণ্টা মনোযোগ নষ্ট হয়—ফলে দিনের পরিকল্পনা ভেঙে পড়ে।,মাঝারি,চেকের সংখ্যা নির্দিষ্ট করুন (যেমন ১ বার) এবং সাথে সাথে জায়গা ছাড়ুন।,OCD,
75611,আত্মহত্যামুখী প্রবণতা,রাস্তায় হাঁটতে হাঁটতে থাকলে কিছুই আর সম্ভব বলে মনে হয় না বেশি হয়; কিছুক্ষণ থাকে এবং ভেতরে চাপ জমে থাকে।,তীব্র,আশাহীনতা খুব প্রবল হলে একা থাকবেন না। কাছের কারো সাথে থাকুন এবং দ্রুত মানসিক স্বাস্থ্যের পেশাদারের সাহায্য নিন।,Suicidal_tendency,
37008,পোস্টপার্টাম ডিপ্রেশন (প্রসব-পরবর্তী বিষণ্নতা),হঠাৎ মনে হয় ভোরে ডায়াপার বদলাতে গিয়ে হাসি কমে গেছে টের পাই; সাথে চোখ জ্বালা করে; সাধারণত ধীরে ধীরে কমে; শেষ পর্যন্ত খাওয়া-ঘুমের রুটিন ভেঙে যায় হয় এবং সহযোগিতা চাইতে সংকোচ বোধ করি।,তীব্র,"দিনভর মন খারাপ থাকলে রুটিনকে ছোট ধাপে ভাঙুন—১৫ মিনিট বিশ্রাম, ১০ মিনিট হালকা কাজ; সাপোর্ট পারসনকে জানিয়ে রাখুন।",Postpartum_depression,mood_low_anhedonia
73724,ডিপ্রেশন,"ফোন হাতে নিলে অকারণে এমন হয় বেঁচে থাকা কঠিন মনে হয়, যা কিছুক্ষণ থাকে; ফলে কথা বলতে ইচ্ছে করে না।",মাঝারি,"এমন ভাবনা এলে কারো সাথে কথা বলুন, নিরাপদ পরিবেশে থাকুন এবং কাউন্সেলিংয়ের পরিকল্পনা করুন।",Depression,
11185,ডেল্যুশনাল লাভ ডিসঅর্ডার (এরোটোমানিয়া),সকালে রাস্তায় বেরোতেই কেউ কথা বললেই তীব্র হয় কমেন্টে কিছু শব্দ—আড়াল করে বলল—এই সময় শ্বাস ছোট হয়ে আসে—সারাদিনে বারবার ফিরে আসে—ফলে রুটিন এলোমেলো—বিশ্বস্ত ব্যক্তির সাথে থাকি।,মাঝারি,রুটিন ও ঘুম ঠিক রাখুন; উপসর্গ চললে পেশাদারি মূল্যায়ন নিন।,Delusional_love,online_social
50171,ইটিং ডিসঅর্ডার (Eating Disorders),খাবারের গন্ধ পেলে আগের দিনের কথা মনে পড়ে ভাত/কার্বোহাইড্রেট দেখলেই ভয়; মাথায় আসে নিয়ম ভাঙলে সব নষ্ট হয়ে যাবে ভাবি—এই সময় বুক ভারী লাগে; সাধারণত ধীরে ধীরে কমে; ফলে পড়াশোনা থেমে যায়; তাই লোকজনের সামনে খেতে সংকোচ বোধ করি।,তীব্র,খাওয়া এড়িয়ে চলার তাগিদ খুব বেশি হলে ছোট নিরাপদ ধাপ নিন—বিশ্বস্ত সাপোর্টে বসে কয়েক চুমুক পানি/সহনীয় খাবার; পরে চিকিৎসকের সাথে পুষ্টি পরিকল্পনা ঠিক করুন।,Eating_disorder,
37928,সোমাটিক সিম্পটম ডিসঅর্ডার,"কয়েক মিনিটে বেড়ে যায় রাস্তা দিয়ে হাঁটতে হাঁটতে হাতে-পায়ে টান আর ব্যথা অনুভব হয় অনুভব করি—সাধারণত সারাদিনে বারবার আসে, তাই পড়াশোনা থেমে যায়।",তীব্র,"ব্যথা অসহনীয় হলে এখনই বিশ্রাম নিন, নিরাপদে থাকুন এবং প্রয়োজনে চিকিৎসা সহায়তা নিন। পুনরাবৃত্ত ব্যথার জন্য ডাক্তারের ফলো-আপ পরিকল্পনা করুন।",Somatic_symptom,
87199,সোমাটিক সিম্পটম ডিসঅর্ডার,রাস্তা দিয়ে হাঁটতে হাঁটতে থাকলে হাতে-পায়ে টান আর ব্যথা অনুভব হয় বেশি হয়; নিজে থেকেই কমে এবং পরিবারের সাথে সময় উপভোগ করতে পারি না।,তীব্র,"তীব্র ব্যথায় হঠাৎ কাজ বন্ধ করে বসে পড়ুন, শ্বাস ধীরে আনুন এবং ব্যথা বাড়লে জরুরি সহায়তা নিন।",Somatic_symptom,
94911,পোস্টপার্টাম ডিপ্রেশন (প্রসব-পরবর্তী বিষণ্নতা),পার্টনার অফিসে গেলে থাকলে দিনভর মন ভারী থাকে বেশি হয়; পিঠ/ঘাড় টান ধরে অনুভব করি; কিছুক্ষণ স্থায়ী হয়; ফলে পরিবারের সাথে কথা কমে যায়; মাঝে মাঝে অতিথিদের এড়িয়ে চলি।,হালকা,আজ একবার বাইরে খোলা হাওয়ায় বসে থাকুন।,Postpartum_depression,mood_low_anhedonia
16761,বাইপোলার,"আস্তে আস্তে বাড়তে থাকে রাতে একা থাকলে রাতে ঘুম আসে না অনুভব করি—সাধারণত দিনের বেশিরভাগ সময় ছায়ার মতো ঘোরে, তাই সময় ব্যবস্থাপনা ভেঙে যায়।",হালকা,ঘুমানোর আগে ভারী খাবার এড়িয়ে চলুন এবং রুম ঠান্ডা-নীরব রাখুন।,Bipolar,
45839,পোস্টপার্টাম ডিপ্রেশন (প্রসব-পরবর্তী বিষণ্নতা),ব্রেস্টপাম্প সেটআপ করতে গিয়ে থাকলে দিনভর মন ভারী থাকে বেশি হয়; পিঠ/ঘাড় টান ধরে অনুভব করি; ধীরে ধীরে কমে; ফলে কাউকে দেখা করতে মন চায় না; মাঝে মাঝে সহযোগিতা চাইতে সংকোচ বোধ করি।,মাঝারি,দিনের গুরুত্বপূর্ণ ১–২টি কাজ বেছে সময় বক্স করুন; বাকি কাজ পরে।,Postpartum_depression,mood_low_anhedonia
67220,ডিপ্রেশন,"জানালার পাশে চুপচাপ বসে আস্তে আস্তে ভর করে মনে এক ধরনের দুঃখ চাপা থাকে, যা সারাদিনে বারবার আসে; ফলে ছোট কাজও কঠিন লাগে।",মাঝারি,একটি ছোট কার্যক্রম বেছে নিন (গোছগাছ/হালকা কাজ) এবং সম্পন্ন হওয়ার অনুভূতি তৈরি করুন।,Depression,
89495,প্যানিক অ্যাটাক,"ক্লাসে বসে থাকা অবস্থায় হঠাৎ মনে হয় বিনা কারণে ভয় হয়, যা ধীরে ধীরে কমে আসে।",তীব্র,"তীব্র আতঙ্কে আগে নিরাপত্তা নিশ্চিত করুন, ধীরে শ্বাস নিন এবং অবস্থা না কমলে চিকিৎসা সহায়তা নিন।",Panic_attack,
36011,প্যানিক অ্যাটাক,আস্তে আস্তে বাড়তে থাকে রাস্তা দিয়ে হাঁটার সময় মৃত্যুভয় চেপে বসে; সাধারণত কিছুক্ষণ স্থায়ী হয়।,হালকা,মন হালকা রাখতে হাঁটা এবং নিয়মিত ঘুমের অভ্যাস বজায় রাখুন।,Panic_attack,
63367,ওসিডি (Obsessive–Compulsive Disorder),মোবাইল হাতে নিলে আস্তে আস্তে সন্দেহ ভর করে জীবাণু লেগে যাবে মনে হয়—পরিষ্কার না হওয়া পর্যন্ত ধুতে থাকি—এই সময় হাত কাঁপে—সারাদিনে বারবার ফিরে আসে—ফলে বারবার ফিরে গিয়ে চেক করতে হয়।,হালকা,হালকা অস্বস্তিতে একবার নিয়মমাফিক ধুয়ে আর না ধোয়া অনুশীলন করুন।,OCD,
57515,বাইপোলার,গাড়ি চালানোর সময় থাকলে পরিকল্পনা করে এগোতে পারি না বেশি হয়; দিনের বেশিরভাগ সময় ছায়ার মতো ঘোরে এবং নিজেকে নিয়ন্ত্রণে রাখতে কষ্ট হয়।,তীব্র,মনোযোগ একেবারে ধরে না রাখতে পারলে কাজ থামিয়ে বিশ্রাম নিন এবং প্রয়োজন হলে চিকিৎসা পরামর্শ নিন।,Bipolar,
71324,প্যারানইয়া,রাতে বারান্দার ধারে দাঁড়ালে আস্তে আস্তে সন্দেহ ভর করে দরজা-জানালা বারবার চেক করি—এই সময় শ্বাস ছোট হয়ে আসে—দু-এক ঘণ্টা টিকে থাকে—ফলে পরিকল্পনা পাল্টে ফেলি—সতর্ক থাকতে জানালা পর্দা টেনে রাখি।,মাঝারি,চেকিং বিলম্ব ১–২ মিনিট অনুশীলন করুন; চেক-লগ রাখুন।,Paranoia,
98706,সোমাটিক সিম্পটম ডিসঅর্ডার,"মনে হয় ভেতরে গুরুতর রোগ লুকিয়ে আছে পরিবারের সাথে সময় কাটাতে গেলে টের পাই, এরপর সারাদিনে বারবার আসে; এতে কাজে মনোযোগ নষ্ট হয়ে যায়।",তীব্র,তীব্র দুশ্চিন্তায় একা থাকবেন না; নিরাপদ জায়গায় থাকুন এবং পেশাদারি সহায়তা নিন।,Somatic_symptom,
84091,ডেল্যুশনাল লাভ ডিসঅর্ডার (এরোটোমানিয়া),বাসস্ট্যান্ডে অপেক্ষার সময় কেউ কথা বললেই তীব্র হয় স্টোরিতে একই রঙের ইমেজ—আমার নামের ইঙ্গিত—এই সময় শ্বাস ছোট হয়ে আসে—সারাদিনে বারবার ফিরে আসে—ফলে রুটিন এলোমেলো—মেসেজ পাঠাতে ইচ্ছে হলেও নিজেকে থামাই।,মাঝারি,রুটিন ও ঘুম ঠিক রাখুন; উপসর্গ চললে পেশাদারি মূল্যায়ন নিন।,Delusional_love,online_social
10558,ইটিং ডিসঅর্ডার (Eating Disorders),বাইরে খেতে যাওয়ার প্ল্যান হলে থাকলে দুপুরে না খেলে নিজেকে ‘ভালো’ মনে হয় বাড়ে এবং সবাই আমাকে বিচার করবে মনে হয় ঘুরতে থাকে; সাথে শ্বাস ছোট হয়ে আসে; ধীরে ধীরে কমে; শেষ পর্যন্ত খাওয়া পিছিয়ে দিই; তখন খাবার ‘নির্দোষ’ প্রমাণ না হলে এড়িয়ে চলি।,হালকা,হালকা হলে একবেলার ছোট নমনীয়তা যোগ করুন।,Eating_disorder,
81431,ডিপ্রেশন,"কিছুক্ষণে বেড়ে যায় ভিড় বাসে দাঁড়িয়ে বুকে ভারী লাগে অনুভব করি—সাধারণত ধীরে ধীরে কমে, তাই পড়াশোনা থেমে যায়।",হালকা,ছোট ছোট বিরতি নিন এবং চোখ/কাঁধ বিশ্রাম দিন।,Depression,
8625,পোস্টপার্টাম ডিপ্রেশন (প্রসব-পরবর্তী বিষণ্নতা),কারণ ছাড়াই মন খারাপের ঢেউ ওঠে ঘরে সবাই ঘুমালে ভালো মা হতে পারছি না ভাবি টের পাই; সাথে বুক ভারী লাগে; সাধারণত রাতে ঘুম ব্যাহত হয়; শেষ পর্যন্ত কাজে মন বসে না হয় এবং বারবার শিশুকে চেক করি।,হালকা,হালকা অপরাধবোধে তথ্য-প্রমাণ লিখুন—আপনি যা করেছেন তার তালিকা দেখুন।,Postpartum_depression,guilt_shame
46243,জেনারালাইজড অ্যাংজাইটি ডিসঅর্ডার (GAD),"বিছানায় শুতে গেলে অকারণে শুরু হয় আগামী দিনের খারাপ ফল মাথায় আসে, যা নিজে থেকেই পরে কমে; ফলে পরিকল্পনা পাল্টে ফেলি।",মাঝারি,দীর্ঘমেয়াদি চিন্তাকে সপ্তাহিক ছোট লক্ষ্যে ভাঙুন এবং প্রতিদিন ১ ধাপ সম্পন্ন করুন।,Generalized_anxiety,
